id,name,supermarket,zip_code,price,url,category
25869483,Pila alcalina AAA LR03 Bosque Verde,mercadona.es,28020,1.65,https://tienda.mercadona.es/product/22301/pila-alcalina-aaa-lr03-bosque-verde-paquete,limpieza_y_hogar|pilas_y_bolsas_de_basura
25866134,Surtido de caramelos Diver Xuxes Hacendado,mercadona.es,28020,2.15,https://tienda.mercadona.es/product/65059/surtido-caramelos-diver-xuxes-hacendado-envueltos-individualmente-paquete,azucar_caramelos_y_chocolate|golosinas
25862928,FONT VELLA agua mineral natural botella 1 lt,dia.es,28020,0.79,https://www.dia.es/compra-online/bebidas/aguas/p/114231,bebidas|aguas
25866570,Cacao soluble 0% azúcares añadidos Hacendado,mercadona.es,28020,3.3,https://tienda.mercadona.es/product/22849/cacao-soluble-0-azucares-anadidos-hacendado-bote,cacao_cafe_e_infusiones|cacao_soluble_y_chocolate_a_la_taza
25861899,NESQUIK cacao instantáneo intenso 70% lata 300 gr,dia.es,28020,3.95,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/cacao-y-cremas-de-cacao/p/279074,despensa|desayunos_y_dulces|cacao_y_cremas_de_cacao
25869715,Máscara de pestañas Volume & Curve XL Deliplus negro,mercadona.es,28020,3.65,https://tienda.mercadona.es/product/73350/mascara-pestanas-volume-curve-xl-deliplus-negro,maquillaje|ojos
25862886,BICENTURY tortitas de maíz con chocolate blanco y frutos rojos paquete 184 gr,dia.es,28020,2.79,https://www.dia.es/compra-online/despensa/dieteticos/perdida-de-peso/p/244935,despensa|dieteticos|perdida_de_peso
25855267,Crema de queso light Philadelphia 350 g.,carrefour.es,28020,3.75,https://www.carrefour.es/supermercado/crema-de-queso-light-philadelphia-350-g/R-704404249/p,productos_frescos|quesos|crema_de_queso
25866199,Postre lácteo infantil de natillas Yogolino +6 meses,mercadona.es,28020,3.45,https://tienda.mercadona.es/product/35403/postre-lacteo-infantil-natillas-yogolino-6-meses-pack-4,bebe|alimentacion_infantil
25865624,Refresco cola Hacendado Zero azúcar,mercadona.es,28020,0.32,https://tienda.mercadona.es/product/29034/refresco-cola-hacendado-zero-azucar-lata,agua_y_refrescos|refresco_de_cola
25856724,Té verde en bolsitas Carrefour 30 ud.,carrefour.es,28020,1.28,https://www.carrefour.es/supermercado/te-verde-en-bolsitas-carrefour-30-ud/R-prod690071/p,la_despensa|dulce_y_desayuno|infusiones_y_tes
